map,cmd,stars,MWSC,Type,RAJ2000,DEJ2000,r0,r1,r2,pmRA,pmDE,RV,d,E(B-V),logt,rc,rt,k,SType,[Fe/H],Simbad
 , , , , ,deg,deg,deg,deg,deg,mas/yr,mas/yr,km/s,pc,mag,[yr],pc,pc,pc-2, ,[Sun],
---,---,-----,----,-,-------,-------,-------,-------,-------,-------,-------,-------,--------,-------,-------,--------,--------,--------,---,--------,------
map,cmd,stars,1922, ,168.390,-55.440,  0.025,  0.120,  0.200, -11.81,   3.31,       ,    1032,  0.100,  7.760,    2.14,    5.63,    3.68,   ,        ,Simbad
map,cmd,stars,1923,r,168.460,-64.477,  0.012,  0.075,  0.125,  -7.15,   6.92,       ,    4465,  0.468,  9.145,    1.79,   12.91,    1.30,   ,        ,Simbad
map,cmd,stars,1924, ,168.562,-57.535,  0.025,  0.140,  0.215, -13.35,   3.93,       ,    1968,  0.094,  9.650,    2.39,   10.33,    2.19,   ,        ,Simbad
map,cmd,stars,1925,r,168.712,-44.330,  0.010,  0.105,  0.165, -10.28,   0.70,       ,    2662,  0.229,  9.400,    1.11,   10.09,    2.66,   ,        ,Simbad
map,cmd,stars,1926,n,168.847,-61.250,  0.015,  0.055,  0.085,  -2.38,   1.05,   23.0,    7158,  1.634,  6.000,    4.52,   18.58,    2.84,   ,        ,Simbad
map,cmd,stars,1927, ,169.075,-60.245,  0.020,  0.055,  0.085,  -5.78,   3.86,       ,    2208,  0.250,  8.650,    0.59,    5.95,    8.48,non,        ,Simbad
map,cmd,stars,1928, ,169.110,-61.485,  0.018,  0.037,  0.055, -11.49,   2.16,       ,    7511,  0.999,  6.000,    2.17,    7.32,    2.08,irc,        ,Simbad
map,cmd,stars,1930, ,169.365,-62.740,  0.025,  0.120,  0.195,  -8.00,   1.50,  -14.1,    1224,  0.416,  8.650,    1.83,    6.30,   50.87,   ,   0.010,Simbad
map,cmd,stars,1931,r,169.642,-53.790,  0.018,  0.105,  0.160,  -5.93,   4.97,       ,    3280,  0.375,  9.115,    1.48,   15.84,    3.60,   ,        ,Simbad
map,cmd,stars,1932,g,169.921,-65.217,  0.010,  0.038,  0.070, -10.21,  -1.03,   86.0,   13797,  0.625,  9.800,    4.30,   33.83,    0.08,   ,  -0.350,Simbad
map,cmd,stars,1933, ,169.920,-63.475,  0.020,  0.090,  0.160,  -5.93,   1.69,    0.4,    2202,  0.500,  8.375,    0.67,    8.59,   66.14,   ,        ,Simbad
map,cmd,stars,1935, ,170.092,-56.817,  0.012,  0.055,  0.095,  -4.09,   5.03,       ,    3336,  0.416,  9.200,    0.85,   12.23,    2.40,   ,        ,Simbad
map,cmd,stars,1936, ,170.287,-58.215,  0.020,  0.060,  0.107,  -7.94,   3.89,       ,    1791,  0.416,  9.000,    0.86,    6.24,    2.40,dub,        ,Simbad
map,cmd,stars,1937,r,170.497,-52.255,  0.020,  0.115,  0.165,  -6.43,   3.64,       ,    3001,  0.354,  9.135,    5.06,   13.06,    0.48,   ,        ,Simbad
map,cmd,stars,1938, ,170.670,-62.320,  0.018,  0.080,  0.140,  -7.16,   5.01,       ,    2863,  1.603,  8.700,    0.97,   10.30,   23.22,irc,        ,Simbad
map,cmd,stars,1939, ,170.625,-58.530,  0.020,  0.075,  0.115,  -8.23,   1.23,       ,    1221,  0.208,  9.045,    1.08,    4.53,    9.17,   ,        ,Simbad
map,cmd,stars,1940, ,170.775,-75.015,  0.018,  0.060,  0.110,  -9.20,   1.88,       ,    3575,  0.104,  9.700,    0.93,   14.80,    2.58,   ,        ,Simbad
map,cmd,stars,1941, ,171.142,-58.950,  0.020,  0.080,  0.125, -10.86,   2.03,       ,    5254,  0.458,  6.200,   15.39,   23.73,    0.24,irc,        ,Simbad
map,cmd,stars,1942, ,171.405,-43.235,  0.020,  0.095,  0.190,  -5.21,   0.77,    2.4,     946,  0.062,  9.200,    0.56,    5.22,   23.26,   ,  -0.167,Simbad
map,cmd,stars,1943, ,171.960,-68.735,  0.025,  0.075,  0.140,  -6.95,   7.98,       ,    1825,  0.291,  9.455,    0.94,    8.79,    9.53,   ,        ,Simbad
map,cmd,stars,1944, ,171.937,-58.510,  0.012,  0.060,  0.100,  -5.20,  -0.03,       ,    2511,  0.625,  8.900,    0.91,    9.11,    4.42,   ,        ,Simbad
map,cmd,stars,1946, ,172.218,-63.105,  0.010,  0.045,  0.070,  -9.49,   5.23,       ,    1777,  0.625,  8.525,    0.38,    4.61,   12.24,irc,        ,Simbad
map,cmd,stars,1950, ,172.635,-63.480,  0.035,  0.120,  0.230,  -5.06,   0.59,    2.0,    2932,  0.510,  7.000,    2.92,   16.21,    1.64,   ,        ,Simbad
map,cmd,stars,1951, ,172.710,-60.750,  0.020,  0.090,  0.150,  -5.12,   1.95,   -3.0,    1297,  0.110,  7.700,    0.87,    6.44,    9.98,   ,        ,Simbad
map,cmd,stars,1952, ,172.725,-58.480,  0.016,  0.060,  0.110,  -9.47,  -1.58,       ,    1208,  0.354,  8.320,    1.43,    4.34,   14.23,   ,        ,Simbad
map,cmd,stars,1953, ,172.915,-57.623,  0.010,  0.065,  0.120, -11.42,   6.02,       ,    1639,  0.396,  8.600,    0.65,    7.69,    4.95,   ,        ,Simbad
map,cmd,stars,1954, ,173.085,-60.705,  0.015,  0.115,  0.180,  -7.40,   0.90,   -3.0,    1513,  0.312,  8.400,    4.91,    8.98,    6.74,   ,        ,Simbad
map,cmd,stars,1955, ,173.250,-77.825,  0.010,  0.085,  0.150,  -8.99,  -1.53,       ,    1561,  0.104,  9.565,    0.96,    7.54,    1.92,   ,        ,Simbad
map,cmd,stars,1956, ,173.452,-63.285,  0.012,  0.042,  0.070,  -1.96,  -0.81,       ,    2273,  2.228,  6.600,    1.75,    5.11,    1.34,irc,        ,Simbad
map,cmd,stars,1957, ,174.052,-62.950,  0.022,  0.120,  0.200,  -7.04,  -1.07,   -0.9,    2098,  0.437,  6.250,    2.37,   10.24,    1.78,   ,        ,Simbad
map,cmd,stars,1958, ,174.075,-61.615,  0.022,  0.115,  0.230,  -6.00,  -0.10,  -14.8,    1685,  0.208,  7.950,    0.91,   11.19,   31.64,   ,        ,Simbad
map,cmd,stars,1959, ,174.240,-62.723,  0.012,  0.065,  0.115,  -7.66,   0.46,       ,    1538,  0.822,  8.700,    0.60,    6.06,    8.20,   ,        ,Simbad
map,cmd,stars,1960, ,174.525,-63.338,  0.020,  0.095,  0.165,  -5.86,   0.52,   -3.8,    2937,  0.500,  6.640,    2.92,   14.97,    2.63,   ,        ,Simbad
map,cmd,stars,1961, ,174.802,-63.510,  0.020,  0.100,  0.170,  -4.46,  -1.13,   -0.3,    2796,  0.521,  6.600,    6.03,   15.06,    0.99,   ,        ,Simbad
map,cmd,stars,1963, ,175.365,-61.010,  0.025,  0.110,  0.220,  -3.80,  -1.70,  -18.6,    1500,  0.300,  7.670,    1.03,   12.70,    2.19,   ,        ,Simbad
map,cmd,stars,1964, ,175.395,-62.425,  0.012,  0.060,  0.105,  -2.87,  -2.15,       ,    1687,  0.208,  8.880,    1.12,    6.91,    5.93,rem,        ,Simbad
map,cmd,stars,1965, ,175.560,-62.510,  0.020,  0.080,  0.125,  -4.97,  -1.21,   -8.2,    1380,  0.625,  7.400,    0.80,    4.70,    3.25,   ,        ,Simbad
map,cmd,stars,1966, ,175.912,-61.155,  0.010,  0.055,  0.080,  -4.87,  -3.99,       ,    1634,  0.416,  8.495,    1.88,    3.85,    5.10,   ,        ,Simbad
map,cmd,stars,1968, ,175.950,-62.520,  0.012,  0.095,  0.170,  -5.82,   1.20,   -8.6,    2454,  0.312,  6.800,    1.14,   15.88,    3.28,   ,        ,Simbad
map,cmd,stars,1969,r,176.017,-45.925,  0.015,  0.110,  0.170,  -9.75,   1.73,       ,    2020,  0.229,  9.300,    3.37,    9.38,    2.41,   ,        ,Simbad
map,cmd,stars,1970, ,176.047,-61.058,  0.012,  0.060,  0.100,  -4.77,  -4.04,       ,    1560,  0.416,  8.600,    0.19,    5.00,   11.91,dub,        ,Simbad
map,cmd,stars,1971, ,176.145,-67.085,  0.018,  0.090,  0.165, -10.14,   2.89,       ,    2879,  0.323,  9.300,    1.50,   14.16,    0.77,   ,        ,Simbad
map,cmd,stars,1972, ,176.175,-45.660,  0.020,  0.095,  0.180,  -6.48,  -0.53,       ,    1389,  0.271,  9.250,    0.94,    8.00,    4.23,   ,        ,Simbad
map,cmd,stars,1973, ,176.374,-62.433,  0.017,  0.075,  0.115,  -6.90,  -0.90,       ,    2569,  0.625,  6.600,    1.52,    9.72,    2.12,non,        ,Simbad
map,cmd,stars,1975, ,176.487,-65.555,  0.012,  0.050,  0.077,  -6.28,   3.72,  -23.2,    4494,  2.290,  6.100,    1.81,   11.08,    1.77,irc,        ,Simbad
map,cmd,stars,1976, ,176.752,-62.650,  0.012,  0.070,  0.140,  -3.48,  -1.28,    0.0,    4416,  0.854,  6.350,    1.89,   12.69,    4.36,irc,        ,Simbad
map,cmd,stars,1977,r,177.135,-62.285,  0.015,  0.055,  0.080,  -7.65,  -2.90,       ,    1274,  0.541,  7.700,    0.62,    3.89,    5.51,irc,        ,Simbad
map,cmd,stars,1978, ,177.322,-62.225,  0.010,  0.060,  0.100,  -7.90,  -1.13,       ,    2382,  0.979,  8.685,    0.81,    4.96,   36.11,   ,        ,Simbad
map,cmd,stars,1979, ,177.525,-48.210,  0.025,  0.110,  0.170,  -8.00,   3.92,       ,    1792,  0.104,  9.515,    0.66,    7.99,    4.94,   ,        ,Simbad
map,cmd,stars,1981, ,177.540,-64.870,  0.020,  0.035,  0.050,  -9.67,  -0.06,       ,    4532,  1.145,  6.500,    0.72,    8.70,    2.87,irc,        ,Simbad
map,cmd,stars,1982, ,177.660,-55.670,  0.035,  0.100,  0.170,  -9.88,  -1.61,  -22.6,    1884,  0.167,  9.110,    1.89,    9.96,    7.25,var,   0.020,Simbad
map,cmd,stars,1983, ,177.697,-62.150,  0.018,  0.077,  0.125,  -5.34,  -0.58,       ,    1251,  0.042,  9.060,    0.55,    5.24,   24.67,   ,        ,Simbad
map,cmd,stars,1984, ,177.960,-61.270,  0.020,  0.120,  0.235,  -5.30,   1.51,  -22.0,    1634,  0.260,  8.385,    1.49,    9.46,    0.68,   ,        ,Simbad
map,cmd,stars,1985, ,178.372,-62.605,  0.015,  0.070,  0.110,  -4.08,  -0.55,       ,    1920,  0.416,  7.700,    0.81,    7.66,    7.05,   ,        ,Simbad
map,cmd,stars,1986, ,178.905,-58.390,  0.020,  0.080,  0.140,  -9.03,   4.40,       ,    1305,  0.208,  8.700,    0.49,    5.26,   22.44,   ,        ,Simbad
map,cmd,stars,1987, ,179.347,-62.710,  0.013,  0.045,  0.090,  -3.89,  -2.47,  -14.9,    1537,  0.208,  8.650,    0.72,    5.18,   43.40,   ,  -0.590,Simbad
map,cmd,stars,1988, ,179.715,-64.588,  0.020,  0.140,  0.280,  -5.43,  -9.02,   -7.6,     610,  0.160,  8.800,    1.50,    4.50,    9.67,   ,        ,Simbad
map,cmd,stars,1990,m,180.300,-78.335,  0.070,  0.600,  0.950, -40.45,  -3.91,   13.7,     117,  0.000,  6.600,    1.49,    2.33,  273.69,var,        ,Simbad
map,cmd,stars,1991, ,180.315,-63.215,  0.012,  0.085,  0.150,  -7.24,  -1.44,       ,    1210,  0.156,  8.400,    1.48,    5.29,   27.23,   ,        ,Simbad
map,cmd,stars,1992, ,180.420,-64.100,  0.015,  0.055,  0.100, -15.39,  -5.77,       ,    2795,  0.833,  9.000,    0.77,   10.47,   19.71,   ,        ,Simbad
map,cmd,stars,1993, ,180.712,-60.920,  0.035,  0.170,  0.300,  -4.63,   3.00,       ,     920,  0.094,  8.600,    0.93,    8.86,   16.93,   ,        ,Simbad
map,cmd,stars,1994, ,180.870,-63.860,  0.012,  0.120,  0.210,  -7.74,  -2.07,       ,     719,  0.052,  8.375,    1.16,    4.34,   16.84,   ,        ,Simbad
map,cmd,stars,1995, ,181.440,-62.617,  0.018,  0.090,  0.155,  -7.22,   1.13,       ,    2589,  0.729,  8.600,    2.45,   14.03,    1.22,   ,        ,Simbad
map,cmd,stars,1996, ,181.575,-69.780,  0.025,  0.140,  0.275,  -6.90,   0.50,    2.0,     774,  0.171,  7.910,    1.45,    6.03,    8.70,   ,        ,Simbad
map,cmd,stars,1997, ,181.665,-61.250,  0.020,  0.130,  0.210,  -5.42,   0.98,  -12.0,    1659,  0.302,  7.755,    1.88,    9.84,   32.44,   ,        ,Simbad
map,cmd,stars,1998, ,181.965,-59.300,  0.030,  0.095,  0.190, -10.55,   0.41,   -1.0,    1198,  0.333,  7.300,    0.60,    6.45,   13.40,   ,  -0.706,Simbad
map,cmd,stars,1999,r,181.912,-65.185,  0.015,  0.055,  0.105,  -6.02,   2.40,       ,    4430,  0.833,  9.500,    3.63,   16.35,    0.41,irc,        ,Simbad
map,cmd,stars,2000, ,181.987,-60.690,  0.020,  0.125,  0.185,  -5.15,   0.55,   10.1,     703,  0.200,  8.375,    1.11,    3.78,    8.89,   ,        ,Simbad
map,cmd,stars,2001, ,182.230,-63.270,  0.010,  0.050,  0.080, -10.91,   6.06,   28.8,    4564,  2.186,  6.000,    4.69,   13.93,    0.31,irc,        ,Simbad
map,cmd,stars,2002, ,182.392,-63.005,  0.020,  0.120,  0.190,  -4.66,   1.07,       ,    2856,  0.687,  8.870,    1.54,   17.39,    8.14,   ,        ,Simbad
map,cmd,stars,2004,g,182.526,+18.543,  0.015,  0.040,  0.060,  -6.86,  -6.00,  183.2,   19305,  0.021, 10.100,    2.22,   34.40,    1.86,glo,  -1.645,Simbad
map,cmd,stars,2005, ,182.580,-59.520,  0.030,  0.100,  0.200,  -4.94,  -1.17,  -38.7,     800,  0.000,  9.010,    1.59,    4.78,   20.23,   ,  -0.250,Simbad
map,cmd,stars,2007, ,183.390,-62.730,  0.018,  0.100,  0.160,  -6.98,   0.43,       ,    1609,  0.521,  7.500,    1.46,    7.27,   10.22,   ,        ,Simbad
map,cmd,stars,2008, ,183.465,-56.785,  0.012,  0.075,  0.125,  -6.12,   1.92,       ,    3330,  0.583,  9.100,    1.63,   14.25,    1.16,   ,        ,Simbad
map,cmd,stars,2009, ,183.502,-63.590,  0.015,  0.030,  0.045,  -7.38,  -0.61,       ,    5179,  1.332,  9.180,    0.88,    4.33,   15.79,   ,        ,Simbad
map,cmd,stars,2010, ,183.705,-64.400,  0.025,  0.140,  0.280,  -6.00,   0.31,   -7.8,    2652,  0.468,  6.920,    3.79,   19.59,    0.89,   ,        ,Simbad
map,cmd,stars,2011, ,183.862,-62.910,  0.015,  0.035,  0.050,  -3.66,   1.52,       ,    6976,  1.187,  6.000,    2.92,   12.08,    1.25,irc,        ,Simbad
map,cmd,stars,2012,r,184.230,-58.417,  0.012,  0.070,  0.115, -13.24,  -0.94,       ,    1298,  0.416,  9.110,    0.52,    3.11,   21.53,ast,        ,Simbad
map,cmd,stars,2013, ,184.335,-55.120,  0.020,  0.090,  0.135,  -5.29,   5.66,       ,    2630,  0.312,  8.945,    1.73,   10.24,    1.01,   ,        ,Simbad
map,cmd,stars,2014, ,185.025,-81.510,  0.020,  0.115,  0.200,  -6.84,   1.92,       ,    2671,  0.208,  9.600,    5.16,   15.34,    0.26,   ,        ,Simbad
map,cmd,stars,2015, ,185.170,-64.775,  0.020,  0.135,  0.245,  -8.69,  -2.48,       ,     826,  0.050,  8.630,    2.37,    5.84,   17.55,   ,        ,Simbad
map,cmd,stars,2016, ,185.190,-67.530,  0.020,  0.115,  0.235,  -9.20,   0.82,  -17.9,    1209,  0.271,  8.000,    0.55,    8.69,    6.99,   ,        ,Simbad
map,cmd,stars,2017, ,185.310,-57.185,  0.018,  0.075,  0.140,  -5.10,  -0.18,       ,    7354,  0.521,  9.200,    3.95,   21.14,    0.86,   ,        ,Simbad
map,cmd,stars,2018,r,185.467,-51.470,  0.020,  0.100,  0.165,  -9.66,   0.34,       ,    3414,  0.104,  9.600,    2.40,   14.92,    0.40,   ,        ,Simbad
map,cmd,stars,2020, ,185.985,+26.300,  0.200,  2.510,  4.225, -11.72,  -8.76,   -1.0,      87,  0.000,  8.840,        ,        ,        ,   ,   0.070,Simbad
map,cmd,stars,2021, ,185.767,-59.665,  0.020,  0.125,  0.205,  -7.53,  -4.45,       ,    1509,  0.333,  8.445,    0.84,    7.95,   14.63,non,        ,Simbad
map,cmd,stars,2023, ,186.000,-58.117,  0.025,  0.110,  0.185,  -7.56,  -1.91,       ,    2874,  0.333,  9.150,    3.41,   16.75,    4.55,   ,        ,Simbad
map,cmd,stars,2024, ,186.060,-61.870,  0.025,  0.105,  0.205,  -9.57,  -1.75,  -15.0,    2155,  0.448,  8.410,    1.91,   14.29,   18.64,   ,   0.105,Simbad
map,cmd,stars,2025, ,186.067,-56.165,  0.018,  0.075,  0.125,  -5.50,   1.89,       ,    4640,  0.521,  9.300,    1.70,   14.87,    0.71,   ,        ,Simbad
map,cmd,stars,2026, ,186.180,-68.485,  0.015,  0.110,  0.160,  -8.52,   1.67,       ,    1239,  0.416,  7.885,    0.49,    6.11,    9.06,dub,        ,Simbad
map,cmd,stars,2028, ,186.255,-60.445,  0.018,  0.075,  0.115, -10.99,  -5.09,       ,    2702,  0.750,  8.890,    1.70,    8.42,    2.96,   ,        ,Simbad
map,cmd,stars,2029,g,186.439,-72.659,  0.035,  0.200,  0.330, -11.08,   5.26,   72.3,    5807,  0.389, 10.100,    7.32,   36.16,    2.25,glo,  -1.945,Simbad
map,cmd,stars,2030, ,186.540,-63.400,  0.010,  0.045,  0.090,  -7.56,   3.45,       ,    4430,  0.833,  9.200,    4.40,    9.03,   11.58,   ,        ,Simbad
map,cmd,stars,2031, ,186.577,-61.800,  0.030,  0.200,  0.320,  -9.20,  -1.94,    8.0,    1423,  0.416,  7.600,        ,        ,        ,   ,        ,Simbad
map,cmd,stars,2032, ,186.750,-64.067,  0.020,  0.100,  0.180,  -8.07,   2.90,       ,    1859,  0.479,  8.450,    0.77,    9.90,    8.22,   ,        ,Simbad
map,cmd,stars,2033,a,186.810,-60.775,  0.020,  0.100,  0.195,  -9.98,  -1.00,   14.9,    1278,  0.208,  8.350,    0.90,    8.58,    5.02,   ,        ,Simbad
