0038,006.004,-72.081,4501
0084,013.192,-26.585,8912
0099,015.825,-70.847,8603
0263,048.067,-55.216,16298
0418,071.524,+31.382,27198
0489,078.532,-40.043,12097
0528,081.046,-24.520,12892
0992,102.247,-36.005,10815
1290,114.535,+38.882,82535
1394,119.571,+26.250,22063
1636,138.013,-64.863,9612
1654,140.238,-77.282,8104
1788,154.404,-46.412,4904
1932,169.921,-65.217,13797
2004,182.526,+18.543,19305
2029,186.439,-72.659,5807
2057,189.667,-51.150,21213
2059,189.867,-26.744,10296
2077,194.892,-70.877,6595
2094,198.229,+18.168,17892
2101,199.113,+17.700,17399
2120,201.697,-47.480,5199
2152,205.548,+28.377,10194
2160,206.611,-51.374,11711
2198,211.380,+28.534,16003
2222,217.405,-05.976,25214
2238,219.901,-26.539,34992
2263,225.076,-82.214,18804
2267,225.994,-33.068,32114
2282,229.021,-00.112,23195
2285,229.351,-21.010,12502
2286,229.638,+02.081,7501
2295,232.003,-50.673,7699
2306,233.869,-50.660,10596
2308,234.772,-50.051,18887
2317,236.512,-37.786,10517
2361,242.763,-55.314,8785
2376,244.260,-22.976,10011
2396,245.896,-26.526,2199
2404,246.450,-72.202,15405
2409,246.807,-26.024,8903
2411,246.918,-38.849,10110
2414,247.167,-35.353,8205
2422,248.133,-13.054,6397
2436,249.856,-28.399,8308
2445,250.422,+36.460,7107
2460,251.745,+47.528,30502
2464,251.809,-01.949,4797
2476,253.050,-47.055,8831
2479,253.356,-22.177,11495
2498,254.287,-04.100,4405
2506,254.886,-37.121,10296
2509,254.962,-00.533,44999
2512,255.303,-30.114,6805
2519,255.657,-26.268,8794
2528,256.110,-24.765,15308
2533,256.288,-22.708,9400
2539,257.542,-26.582,9474
2550,258.634,-29.462,5904
2554,259.155,-28.140,10403
2557,259.281,+43.136,8292
2560,259.497,-23.766,7806
2567,259.797,-18.516,7892
2580,260.292,-19.587,8502
2585,260.895,-17.813,13886
2586,260.994,-26.353,9201
2592,261.372,-48.422,5610
2599,261.786,-07.083,25002
2600,261.888,-30.802,7495
2601,261.934,-05.080,3503
2614,262.662,-31.596,7198
2615,262.771,-29.967,8197
2619,262.978,-67.048,7600
2629,263.616,-39.067,10897
2633,263.910,-21.070,5984
2635,263.949,-30.467,6699
2637,264.043,-38.550,8201
2638,264.072,-44.736,9889
2643,264.400,-03.246,9298
2653,264.652,-23.910,10598
2654,264.666,-35.650,8208
2662,265.176,-53.674,2301
2664,265.429,-19.571,7074
2669,265.926,-26.217,5802
2676,266.227,+03.170,20598
2697,266.868,-33.066,13682
2699,267.021,-24.780,6900
2701,267.219,-20.360,8492
2713,267.555,-37.051,11610
2719,267.693,-31.275,6812
2722,267.715,-34.599,11611
2740,268.485,-32.465,7475
2762,269.662,-05.072,8677
2764,269.766,-44.266,11307
2778,270.411,-26.833,7108
2779,270.454,-27.817,6305
2780,270.460,-08.959,10600
2792,270.892,-30.034,7702
2793,270.901,-26.067,5797
2795,270.960,-00.298,6806
2800,271.207,-30.056,7892
2801,271.207,-07.586,7801
2804,271.536,-27.750,5301
2810,271.836,-24.997,3000
2813,272.010,-43.715,7499
2823,272.275,-46.417,21395
2824,272.323,-25.909,6000
2827,272.380,-20.790,7436
2831,272.574,-31.764,7411
2835,272.683,-07.208,5399
2838,273.066,-22.733,4801
2844,273.411,-31.827,10900
2847,273.520,-28.633,6555
2885,274.656,-52.216,13501
2906,275.919,-30.361,7905
2908,276.136,-24.870,5501
2933,277.734,-25.497,9410
2936,277.846,-32.348,8800
2941,277.975,-23.475,8089
2960,278.940,-32.991,9999
2961,279.100,-23.905,3198
2974,280.374,-19.830,12801
2981,280.803,-32.292,9001
3014,283.267,-08.706,6905
3023,283.764,-30.480,26507
3024,283.774,-22.701,7100
3033,284.887,-36.632,8703
3046,286.314,+01.900,7902
3062,287.716,-59.985,4002
3064,287.800,+01.030,7400
3077,289.147,+30.183,9403
3083,289.432,-34.658,22795
3084,289.509,+18.567,5894
3127,292.183,-30.356,28596
3150,294.999,-30.965,5428
3156,295.435,-33.999,26316
3171,296.310,-08.000,13412
3200,298.443,+18.779,3999
3254,301.515,-21.921,20897
3369,308.547,+07.404,15606
3419,313.365,-12.537,16997
3446,315.372,+16.187,41177
3518,322.492,+12.167,10392
3526,323.362,-00.823,11507
3543,325.099,-23.180,8109
3561,326.662,-21.253,18996
3705,347.110,-15.612,26303
