Name,RAB1950,DEB1950,pm,pmPA,RV,Sp,Vmag,B-V,plx,_RA,_DE
Gl 105  ,02 33 20,+06 39.0, 2.322, 51.0,  26.0,K3 V        ,  5.82, 0.98, 129.4,02 36 05,+06 53.3
Gl 105  ,02 33 31,+06 38.0, 2.322, 51.4,  25.7,dM4.5       , 11.66, 1.60, 129.4,02 36 16,+06 52.2
GJ 1048 ,02 33 45,-23 44.3, 0.082, 80.9,      ,K2 V        ,  8.43, 1.08,  50.0,02 36 01,-23 31.3
NN 3169 ,02 33 49,+31 51.4, 0.330,260.0,      ,M3          , 13.63,     ,  41.0,02 36 48,+32 04.4
NN 3170 ,02 33 49,+31 51.4, 0.330,260.0,      ,M3.5        , 13.90,     ,  41.0,02 36 48,+32 04.4
Wo 9086 ,02 34 06,-47 52.9, 0.210,119.0,      ,G0          , 11.99, 0.55,  42.6,02 35 55,-47 40.0
Wo 9087 ,02 34 09,-03 22.4, 0.335, 81.6,   9.0,K3          ,  8.10, 0.95,  48.0,02 36 41,-03 09.4
NN 3171 ,02 34 24,+06 41.0,      ,     ,      ,M5  e       , 16.00,     ,  48.0,02 37 03,+06 54.0
NN 3172 ,02 34 54,+00 08.5, 0.543,107.0,      ,m           , 15.16, 1.67,  40.6,02 37 30,+00 21.3
Gl 105.1,02 34 54,-34 47.5, 0.259,183.5,  10.3,G5 IV       ,  5.78, 0.65,  55.2,02 36 59,-34 34.7
Wo 9089 ,02 35 31,+30 36.4, 0.625,231.4,-103.0,G1 V        ,  7.34, 0.60,  31.0,02 38 28,+30 49.0
NN 3173 ,02 35 52,+06 24.8,      ,     ,      ,DA8         , 15.09, 0.44,  59.0,02 38 31,+06 37.7
NN 3174 ,02 36 37,+07 15.5, 0.446,105.1,      ,m           , 14.27,     ,  45.0,02 39 18,+07 28.3
Gl 105.3,02 36 56,-26 31.8, 0.277,139.6,  16.1,G2 V-VI     ,  8.76, 0.60,  47.5,02 39 09,-26 19.1
Gl 105.4,02 37 09,-12 05.0, 0.276,148.3,  15.7,F5 V        ,  5.50, 0.44,  68.6,02 39 34,-11 52.3
Gl 105.4,02 37 09,-12 05.0, 0.276,148.3,  16.8,F5 V        ,  5.60,     ,  68.6,02 39 34,-11 52.3
GJ 1049 ,02 37 36,-58 24.1, 0.038,333.0,      ,M0 Ve       ,  9.65, 1.39,  77.0,02 39 01,-58 11.2
GJ 1050 ,02 37 44,-34 19.5, 1.721,161.7, -71.0,m           , 11.75, 1.52,  66.0,02 39 51,-34 08.0
NN 3175 ,02 37 46,-09 40.0, 0.160,240.8,  -4.0,F8 V        ,  5.78, 0.52,  45.0,02 40 12,-09 27.2
Gl 105.5,02 38 07,+00 58.9, 0.370, 49.7,  79.0,dM0  p      ,  9.52, 1.20,  43.0,02 40 43,+01 11.9
Wo 9094 ,02 38 28,-30 21.0, 0.574, 81.3,  33.2,G0 V        ,  8.02, 0.56,  21.0,02 40 39,-30 08.1
Gl 105.6,02 39 05,+39 59.0, 0.184,186.0, -22.8,F9 V        ,  4.92, 0.59,  42.7,02 42 15,+40 11.6
Gl 106  ,02 40 30,+19 13.1, 0.432, 90.7,  29.2,dK4         ,  8.28, 1.07,  54.0,02 43 20,+19 25.8
Gl 106.1,02 40 42,+03 01.6, 0.207,224.5,  -5.1,A3 V        ,  3.56, 0.09,  46.9,02 43 18,+03 14.2
Gl 106.1,02 40 42,+03 01.6, 0.207,224.5, -12.5,dF3         ,  6.30,     ,  46.9,02 43 18,+03 14.2
Gl 106.1,02 39 54,+03 09.9, 0.215,220.0,      ,K5          , 10.16, 1.36,  42.0,02 42 30,+03 22.5
Gl 107  ,02 40 46,+49 01.1, 0.346,104.0,  24.4,F7 V        ,  4.13, 0.49,  79.3,02 44 12,+49 13.7
Gl 107  ,02 40 46,+49 01.1, 0.346,104.0,  25.1,M1 V        , 10.06, 1.48,  79.3,02 44 12,+49 13.7
Gl 108  ,02 40 51,-51 00.9, 0.405, 56.4,  15.5,G3 IV       ,  5.41, 0.56,  68.3,02 42 33,-50 48.0
NN 3176 ,02 40 55,-39 08.8, 0.558,103.9,      ,M3.5        , 13.10,     ,  45.0,02 42 56,-38 56.2
Gl 109  ,02 41 18,+25 19.0, 0.923,113.8,  29.9,dM3.5       , 10.57, 1.56, 125.6,02 44 16,+25 31.3
GJ 1051 ,02 41 22,-09 02.4, 0.924,140.5,   6.0,M2.5        , 11.92, 1.46,  57.3,02 43 51,-08 50.3
NN 3177 ,02 42 11,-36 31.1, 0.034,102.9,      ,G5 V        ,  7.12,     ,  53.0,02 44 13,-36 18.5
Wo 9099 ,02 42 14,+09 54.3, 0.284, 96.2,  30.4,F0 IV       ,  4.27, 0.31,  48.3,02 44 56,+10 06.9
NN 3178 ,02 42 20,+44 44.4, 0.422,107.0,      ,K6          , 10.85, 1.40,  47.0,02 45 39,+44 56.9
NN 3179 ,02 42 22,+44 44.6, 0.435,106.7,      ,m           , 15.00,     ,  47.0,02 45 41,+44 57.1
Gl 111  ,02 42 46,-18 47.0, 0.334, 83.5,  25.6,F6 V        ,  4.46, 0.48,  73.0,02 45 06,-18 34.4
Gl 112  ,02 43 20,+25 26.5, 0.286,121.1,  14.5,K1 IV       ,  7.88, 0.84,  52.6,02 46 16,+25 38.9
Gl 112.1,02 43 34,+11 34.1, 0.332,126.7,  11.3,dK8         ,  8.59, 1.28,  73.0,02 46 18,+11 46.5
NN 3180 ,02 43 39,-05 10.3, 2.524,138.1,      ,m           , 15.86, 1.50,  61.0,02 46 14,-04 59.3
NN 3181 ,02 43 51,+16 13.1, 0.981,235.7, -34.0,M6          , 16.86, 2.02,  66.7,02 46 35,+16 25.2
GJ 1052 ,02 43 58,-02 39.6, 0.513,154.8,      ,DA7         , 15.53, 0.36,  47.7,02 46 31,-02 27.4
NN 3182 ,02 45 03,+54 11.1, 0.613,224.1,      ,DC9         , 15.32, 0.93,  97.0,02 48 36,+54 23.2
Gl 113  ,02 45 12,+26 51.7, 0.304,115.7,  11.1,K1 Ve       ,  7.61, 0.83,  46.0,02 48 09,+27 04.1
Gl 113  ,02 45 12,+26 52.0, 0.296,112.0,      ,m           , 16.50,     ,  46.0,02 48 09,+27 04.4
Gl 113.1,02 45 42,+30 54.6, 0.273,128.5,  -2.8,G9  e       ,  6.76, 0.96,  78.0,02 48 43,+31 06.9
Gl 114  ,02 47 49,+15 30.6, 0.525,137.6, -25.0,dK6         ,  8.90, 1.20,  49.0,02 50 37,+15 42.6
Gl 114.1,02 48 31,-53 21.3, 0.531,348.4,      ,k-m         , 10.72, 1.51,  44.4,02 50 04,-53 08.5
NN 3183 ,02 48 51,+29 17.1, 0.180,204.0,      ,m           , 13.96,     ,  62.0,02 51 50,+29 29.3
Gl 115  ,02 48 52,-44 17.0, 0.270,187.1,  30.5,F8 V        ,  8.17, 0.55,  61.9,02 50 42,-44 04.9
Gl 116  ,02 48 58,+34 11.9, 1.342,136.1, -45.7,dM0         ,  9.55, 1.34,  66.7,02 52 06,+34 23.4
NN 3184 ,02 49 11,+06 01.5, 0.487,103.3,      ,dM3         , 13.19, 1.58,  44.0,02 51 51,+06 13.7
NN 3185 ,02 49 23,+60 39.0, 0.172,120.8, -69.6,K5 V        ,  9.16, 1.07,  39.0,02 53 19,+60 51.2
NN 3186 ,02 49 28,+26 46.4, 0.215,178.0,      ,dM0         , 11.11, 1.49,  52.0,02 52 25,+26 58.5
Gl 117  ,02 50 07,-12 58.3, 0.435,115.2,  18.8,K2 V        ,  6.03, 0.87, 120.4,02 52 32,-12 46.2
NN 3187 ,02 50 14,-33 39.3, 0.434, 92.4,  60.9,K1 V        ,  8.09, 0.84,  38.0,02 52 19,-33 27.1
Gl 118  ,02 51 14,-63 53.5, 1.149, 58.4,  94.0,m           , 11.38, 1.56,  81.0,02 52 23,-63 40.8
NN 3188 ,02 51 58,+61 19.1, 0.148, 75.0,  29.2,F4 V        ,  5.59, 0.45,  42.0,02 55 57,+61 31.2
Gl 118.1,02 52 00,-36 06.3, 0.562,106.8,   5.5,K3 V        ,  8.23, 0.93,  43.0,02 54 03,-35 54.3
Gl 118.1,02 52 00,-36 06.9, 0.532,106.7,      ,M3 :        , 13.10, 1.52,  43.0,02 54 03,-35 54.9
Gl 118.2,02 52 41,+26 40.4, 0.324,124.6,  31.8,dK2         ,  7.60, 0.93,  53.0,02 55 39,+26 52.4
Gl 118.2,02 52 41,+26 40.4, 0.324,124.6,  27.0,dM0         ,  9.80, 1.40,  52.0,02 55 39,+26 52.4
Gl 118.2,02 52 38,+26 40.3, 0.322,125.0,      ,m           , 13.86, 1.58,  52.0,02 55 36,+26 52.3
Gl 119  ,02 52 50,+55 14.5, 0.833,123.9,  76.6,M1          , 10.48, 1.39,  44.8,02 56 35,+55 26.2
Gl 119  ,02 52 50,+55 14.8, 0.833,123.9,      ,M3          , 11.65, 1.42,  44.8,02 56 35,+55 26.5
Wo 9106 ,02 53 27,+13 42.8, 0.113,235.5,   3.1,K0          ,  9.05, 0.81,  23.0,02 56 12,+13 54.8
Gl 120  ,02 54 43,+10 35.8, 1.821,102.9,  49.0,dM4         , 13.03, 1.56,  46.8,02 57 32,+10 47.5
Gl 120.1,02 55 02,-25 10.1, 0.025,126.4,  50.6,K1/2 V      ,  8.03, 0.87,  44.0,02 57 14,-24 58.1
Gl 120.1,02 55 02,-25 10.1, 0.025,126.4,      ,            ,  8.20,     ,  44.0,02 57 14,-24 58.1
Gl 120.1,02 55 01,-25 10.5, 0.039,145.9,  49.6,K2 V        ,  7.83, 0.95,  44.0,02 57 13,-24 58.5
NN 3189 ,02 55 46,-13 05.5, 0.651, 28.8, 107.0,M2.5        , 12.67, 1.73,  45.0,02 58 10,-12 53.1
GJ 2028 ,02 55 54,-70 34.0, 0.682, 97.9, 107.0,DA6         , 14.08, 0.23,  43.0,02 56 24,-70 22.1
NN 3190 ,02 56 00,+36 25.0, 0.680,115.5,      ,M3.5        , 13.04, 1.52,  53.0,02 59 11,+36 36.7
NN 3191 ,02 56 14,+31 34.3, 0.228, 15.0,      ,m           , 13.41,     ,  40.0,02 59 17,+31 46.4
Gl 120.2,02 59 28,+26 24.9, 0.280,124.5,   9.6,G8 V        ,  6.62, 0.72,  42.0,03 02 26,+26 36.5
Wo 9107 ,02 59 28,-28 16.9, 0.514,147.4,  43.3,G5 IV       ,  5.88, 0.79,  39.5,03 01 37,-28 05.5
NN 3192 ,02 59 32,-16 47.0, 0.435,232.0,      ,M3          , 10.96, 1.69, 131.0,03 01 50,-16 35.4
NN 3193 ,02 59 32,-16 47.0, 0.435,232.0,      ,M3          , 11.80,     , 131.0,03 01 50,-16 35.4
NN 3194 ,03 00 03,+61 31.2, 0.993,132.8,   3.8,G4 V        ,  6.62, 0.63,  45.0,03 04 10,+61 42.3
NN 3195 ,03 00 37,+61 33.1, 0.996,133.7,      ,M3          , 12.60,     ,  45.0,03 04 44,+61 44.2
Gl 121  ,03 00 11,-23 49.2, 0.157,250.8,  -9.8,A4 IV       ,  4.08, 0.16,  61.6,03 02 23,-23 37.5
Gl 121.1,03 00 20,-18 21.6, 0.435, 66.0,      ,m           , 11.80, 1.53,  64.1,03 02 39,-18 09.7
Gl 121.2,03 01 09,-05 51.5, 0.436,127.1, -20.6,dG5         ,  8.09, 0.67,  49.1,03 03 39,-05 40.0
NN 3196 ,03 01 17,-13 02.1, 0.262,112.0,      ,k-m         , 13.37,     ,  48.0,03 03 41,-12 50.5
NN 3197 ,03 01 24,-13 02.9, 0.262,112.0,      ,k-m         , 13.50,     ,  48.0,03 03 48,-12 51.3
NN 3198 ,03 01 47,-20 33.9, 0.685,135.9,      ,M3          , 12.84, 1.59,  65.0,03 04 05,-20 22.7
Gl 122  ,03 03 15,+75 51.8, 0.555,157.5,  34.0,dM0         ,  9.82, 1.38,  51.8,03 09 05,+76 02.9
NN 3199 ,03 03 38,+40 10.1, 0.434,249.0, -51.1,K5          ,  9.71, 1.19,  40.0,03 06 51,+40 21.5
Gl 123  ,03 03 50,+01 47.2, 0.992,156.8, -30.2,M0 V        ,  9.09, 1.38,  63.6,03 06 27,+01 58.0
NN 3200 ,03 04 57,-13 57.0, 0.261,182.5,  12.3,G5 V        ,  6.97, 0.65,  40.0,03 07 19,-13 45.7
NN 3201 ,03 05 03,+42 51.0, 0.558,139.8,      ,m           , 14.70, 1.50,  40.7,03 08 24,+43 02.1
NN 3202 ,03 05 04,-04 09.6, 0.461,217.0,      ,dK7         , 10.87, 1.43,  42.0,03 07 33,-03 58.4
GJ 1053 ,03 05 16,+73 35.8, 2.104,120.0,      ,sdM6        , 14.64, 1.79,  82.9,03 10 58,+73 46.3
Gl 124  ,03 05 27,+49 25.4, 1.267, 93.6,  49.5,G0 V        ,  4.05, 0.60,  92.4,03 09 04,+49 36.8
GJ 1054 ,03 05 49,-28 24.4, 0.376,250.0,      ,K7 V        , 10.24, 1.41,  46.0,03 07 55,-28 13.1
GJ 1054 ,03 05 47,-28 25.5, 0.376,250.0,      ,m+          , 13.09, 1.64,  46.0,03 07 53,-28 14.2
NN 3203 ,03 05 53,-24 57.6, 0.333, 64.0,      ,m           ,  9.50,     ,  68.0,03 08 05,-24 46.0
Gl 125  ,03 06 09,+45 32.9, 0.540,232.4,  -9.3,dM1         , 10.15, 1.49,  76.7,03 09 31,+45 44.0
GJ 1055 ,03 06 17,+09 50.5, 0.646,153.1,      ,m           , 14.85, 1.72,  84.2,03 09 00,+10 01.4
NN 3204 ,03 06 33,+58 15.0, 0.272,146.0,      ,M3          , 11.72, 1.50,  48.0,03 10 27,+58 26.2
GJ 1056 ,03 07 13,-60 21.9, 0.242, 54.1,      ,K5 V        ,  9.35, 1.22,  47.0,03 08 23,-60 10.4
NN 3205 ,03 07 37,+05 43.6, 0.563,191.5,      ,dM4         , 11.88,     ,  53.0,03 10 15,+05 54.5
NN 3206 ,03 07 48,+61 21.0, 0.090,  8.0,      ,dK8         , 10.12, 1.32,  48.0,03 11 52,+61 32.4
Gl 126  ,03 09 33,-46 42.7, 0.440, 25.0,      ,m           , 11.52, 1.44,  74.6,03 11 15,-46 31.1
NN 3207 ,03 09 38,-38 58.4, 0.859,103.1,      ,M3.5        , 11.51, 1.51,  57.0,03 11 36,-38 47.3
Gl 127  ,03 09 57,-29 11.0, 0.727, 27.6, -20.0,F7 IV       ,  3.95, 0.51,  72.7,03 12 05,-28 59.2
Gl 127  ,03 09 57,-29 11.0, 0.727, 27.6,      ,G7 V        ,  6.70,     ,  72.7,03 12 05,-28 59.2
Gl 127.1,03 10 04,-68 47.2, 0.080,130.0,      ,DA3         , 11.40, 0.05,  84.9,03 10 32,-68 36.0
Gl 127.1,03 10 04,-68 47.2, 0.080,130.0,      ,            , 14.73, 0.62,  84.9,03 10 32,-68 36.0
Gl 128  ,03 10 13,-01 22.9, 0.202,108.2,  19.2,F8 V        ,  5.06, 0.57,  53.3,03 12 46,-01 11.7
Gl 128  ,03 10 13,-01 22.9, 0.202,108.2,      ,            , 11.50,     ,  53.3,03 12 46,-01 11.7
Gl 130  ,03 10 30,-38 17.2, 1.434, 59.7,  98.0,M3          , 11.46, 1.56,  60.0,03 12 30,-38 05.4
GJ 1057 ,03 10 39,+04 35.2, 1.706, 86.4,      ,m           , 13.80, 1.82, 118.1,03 13 23,+04 46.5
Wo 9111 ,03 10 58,+52 10.1, 0.517,205.7, -55.0,dM0         , 10.24, 1.26,  41.8,03 14 35,+52 20.8
NN 3208 ,03 11 10,+28 30.2, 0.836,158.1,      ,m           , 16.77, 2.15,  67.0,03 14 12,+28 40.7
NN 3209 ,03 11 14,+48 20.3, 0.322,163.0,      ,M1          , 11.43, 1.49,  54.0,03 14 44,+48 31.2
NN 3210 ,03 11 18,-54 18.0, 0.081,163.0,      ,DZ7         , 14.75, 0.52,  91.0,03 12 43,-54 06.9
NN 3211 ,03 11 47,+00 28.1, 0.060,297.0,      ,            , 10.90,     ,  70.1,03 14 21,+00 39.2
Wo 9112 ,03 12 04,+08 48.1, 0.565,134.5, -21.5,K1 V        ,  7.83, 0.86,  43.6,03 14 47,+08 58.9
NN 3212 ,03 12 12,-09 51.2,      ,     ,      ,M0          , 11.63, 1.55,  40.0,03 14 37,-09 40.1
Gl 130.1,03 12 17,+57 59.3, 0.591,126.7,  22.0,M1.5        , 10.92, 1.54,  70.6,03 16 14,+58 10.1
Gl 130.1,03 12 17,+57 59.3, 0.591,126.7,  22.1,M2          , 11.20,     ,  70.6,03 16 14,+58 10.1
Gl 131  ,03 12 35,-26 38.0, 0.269, 69.4,  14.9,K7 V        ,  9.15, 1.24,  58.2,03 14 45,-26 26.8
Gl 132  ,03 13 24,-45 50.7, 0.210,313.0,   4.0,G3 V        ,  6.76, 0.58,  64.9,03 15 06,-45 39.5
NN 3213 ,03 13 48,+45 11.4, 0.261,255.0,      ,m           , 12.39,     ,  66.0,03 17 11,+45 22.3
Gl 133  ,03 13 56,+79 46.9, 0.488, 51.7, -10.2,M2          , 11.20, 1.56,  73.8,03 21 21,+79 58.0
NN 3214 ,03 14 36,+60 25.8, 0.600,128.4,      ,M3.5        , 13.33, 1.51,  40.0,03 18 42,+60 36.4
NN 3215 ,03 14 45,+25 04.5, 0.854,115.1,      ,k           , 11.85, 1.45,  41.0,03 17 45,+25 15.1
Gl 134  ,03 14 52,+38 04.7, 0.772,141.2,  -3.7,dM1.5e      , 10.28, 1.48,  64.2,03 18 07,+38 15.1
NN 3216 ,03 15 30,+32 28.0, 0.210,108.0,      ,m           , 11.33, 1.47,  42.0,03 18 37,+32 38.8
Gl 135  ,03 16 30,-03 01.4, 0.272,110.9,  22.5,G1.5 V      ,  7.03, 0.66,  39.0,03 19 02,-02 50.6
Gl 136  ,03 16 41,-62 46.0, 1.495, 63.2,  12.2,G2 V        ,  5.54, 0.64,  93.6,03 17 46,-62 34.5
Gl 137  ,03 16 44,+03 11.3, 0.284, 70.1,  18.9,G5 Ve       ,  4.82, 0.68, 104.5,03 19 22,+03 22.2
Gl 138  ,03 17 07,-62 41.8, 1.483, 63.7,  11.5,G1 V        ,  5.24, 0.60,  87.5,03 18 13,-62 30.4
Gl 138.1,03 17 54,+08 51.3, 0.298,103.2,   7.2,dG2         ,  8.45, 0.68,  22.0,03 20 37,+09 02.0
Gl 138.1,03 17 59,+08 51.4, 0.299,103.0,      ,k-m         , 15.13,     ,  22.0,03 20 42,+09 02.1
Gl 139  ,03 17 56,-43 15.6, 3.127, 76.3,  86.7,G5 V        ,  4.26, 0.71, 159.6,03 19 56,-43 04.2
NN 3217 ,03 18 17,+52 09.4, 0.392,228.1,      ,K3          ,  9.07, 0.99,  33.0,03 21 55,+52 19.9
NN 3218 ,03 19 19,-06 51.1, 0.312,103.0,      ,M2          , 11.37, 1.50,  63.0,03 21 48,-06 40.5
NN 3219 ,03 19 27,+26 58.7, 0.208,113.0,      ,K7          , 11.03, 1.43,  45.0,03 22 28,+27 09.3
NN 3220 ,03 19 48,+26 58.0, 0.208,113.0,      ,a           , 18.00,     ,  45.0,03 22 49,+27 08.6
GJ 1058 ,03 19 27,+02 46.4, 0.803,155.9,      ,m           , 14.78, 1.76,  59.4,03 22 04,+02 56.5
GJ 1059 ,03 19 41,+41 50.3, 0.719,143.4,      ,m           , 15.33, 1.89,  65.4,03 23 03,+42 00.5
NN 3221 ,03 20 39,+11 30.7, 0.275,241.0,      ,m           , 12.19, 1.56,  54.8,03 23 23,+11 41.2
GJ 2030 ,03 20 51,-07 58.1, 0.216,180.3,  42.2,G2 V        ,  6.19, 0.71,  55.0,03 23 18,-07 47.7
GJ 2030 ,03 20 51,-07 58.1, 0.216,180.3,      ,            , 12.30,     ,  55.0,03 23 18,-07 47.7
Gl 140  ,03 21 09,+23 36.6, 0.227,122.0,      ,dM0         , 10.64, 1.51,  60.0,03 24 06,+23 47.1
Gl 140  ,03 21 09,+23 36.6, 0.227,122.0,      ,            , 12.00,     ,  60.0,03 24 06,+23 47.1
Gl 140  ,03 21 16,+23 35.9, 0.227,122.0,      ,m           , 11.89, 1.50,  60.0,03 24 13,+23 46.4
Gl 140.1,03 21 43,-50 10.5, 0.367, 41.5, -12.2,K5 V        ,  8.47, 1.13,  44.0,03 23 16,-49 59.7
Gl 140.1,03 21 42,-50 10.6, 0.363, 35.1, -12.0,k           , 10.32, 1.39,  44.0,03 23 15,-49 59.8
NN 3222 ,03 21 45,-40 15.2, 0.077, 99.8,      ,K0 V        ,  6.92,     ,  69.0,03 23 35,-40 04.6
Gl 141  ,03 22 32,-05 31.7, 0.802,196.8, -13.6,K5 V        ,  7.86, 1.16,  66.5,03 25 00,-05 21.8
NN 3223 ,03 22 38,-01 59.0, 0.903,163.8,      ,DZ9         , 16.12, 0.80,  62.0,03 25 11,-01 49.2
NN 3224 ,03 23 04,+05 41.5, 0.210,228.0,      ,m+          , 14.70,     ,  77.0,03 25 42,+05 51.9
NN 3225 ,03 23 53,+19 04.3, 0.200,176.0,      ,m           , 14.96,     ,  60.0,03 26 45,+19 14.6
Gl 141.2,03 24 07,-30 47.7, 0.301, 47.7,  20.3,G8 V        ,  7.88, 0.71,  32.0,03 26 11,-30 37.1
NN 3226 ,03 24 55,+09 45.7,      ,     ,      ,K7          , 10.45, 1.39,  40.0,03 27 38,+09 56.1
Gl 142  ,03 25 36,-19 58.9, 0.616, 59.1,  37.9,K7 V        ,  8.39, 1.33,  71.8,03 27 53,-19 48.3
NN 3227 ,03 25 49,+26 19.0, 0.237,115.0,      ,m           , 13.40,     ,  55.0,03 28 50,+26 29.2
Gl 143  ,03 26 08,-63 40.1, 0.439,124.1,  57.3,K5 V        ,  8.00, 1.12,  59.8,03 26 59,-63 29.9
NN 3228 ,03 26 19,-15 47.7, 0.214, 82.0,      ,m           , 14.28,     ,  43.0,03 28 39,-15 37.4
NN 3229 ,03 26 19,-15 47.9, 0.214, 82.0,      ,m           , 14.37,     ,  43.0,03 28 39,-15 37.6
GJ 1060 ,03 26 45,-27 29.3, 0.839, 63.7,      ,DA5         , 14.00,     ,  57.6,03 28 54,-27 18.7
GJ 1060 ,03 26 45,-27 29.4, 0.839, 63.7,      ,sdM3        , 13.80,     ,  57.6,03 28 54,-27 18.8
Gl 143.1,03 26 57,-11 50.7, 0.281,165.0,      ,M0 V        ,  9.98, 1.42,  55.0,03 29 20,-11 40.7
NN 3230 ,03 27 37,+19 56.0, 0.176,108.9,  24.3,G5          ,  8.32, 0.74,  45.2,03 30 31,+20 06.2
NN 3231 ,03 27 37,+19 56.0, 0.176,108.9,  27.1,dK6         , 10.75, 1.42,  45.2,03 30 31,+20 06.2
NN 3232 ,03 27 37,+19 55.7, 0.165,105.8,  20.2,K7 V        , 10.79, 1.39,  62.4,03 30 31,+20 05.9
Gl 143.2,03 28 30,-63 06.8, 0.537, 45.2,  12.0,F5 IV-V     ,  4.71, 0.39,  56.9,03 29 23,-62 56.3
Gl 143.2,03 28 36,-63 07.3, 0.524, 44.9,      ,m           , 10.75, 1.42,  56.9,03 29 29,-62 56.8
Gl 143.3,03 28 59,+14 09.7, 0.678,178.4,      ,sdM3        , 12.27, 1.55,  51.3,03 31 46,+14 19.3
NN 3233 ,03 29 05,+37 53.6, 0.084,234.5,      ,G5          ,  7.28,     ,  65.0,03 32 20,+38 03.7
Gl 144  ,03 30 34,-09 37.6, 0.980,271.1,  16.9,K2 V        ,  3.73, 0.88, 305.6,03 32 55,-09 27.5
Gl 145  ,03 31 17,-44 52.3, 0.342,296.0, -36.0,M3.5        , 11.48, 1.57,  82.4,03 32 56,-44 42.1
NN 3234 ,03 31 53,+28 05.7, 0.528,121.9,      ,m           , 16.67, 1.94,  35.3,03 34 57,+28 15.4
NN 3235 ,03 32 09,-05 00.3, 0.520,127.2,      ,k-m         , 13.10,     ,  66.0,03 34 40,-04 50.6
NN 3236 ,03 32 18,+69 01.1, 0.203,123.0,      ,m           , 14.17,     ,  47.0,03 37 14,+69 10.9
Gl 146  ,03 33 26,-48 35.3, 0.504, 51.3,  19.5,K7 V        ,  8.60, 1.31,  85.3,03 35 01,-48 25.1
NN 3237 ,03 34 04,+03 19.7, 0.159,127.0,      ,dM5  :      , 13.86,     ,  70.0,03 36 41,+03 29.5
GJ 1061 ,03 34 16,-44 40.3, 0.831,118.8, -20.0,M4.5        , 13.03, 1.90, 233.0,03 36 00,-44 30.8
Gl 147  ,03 34 19,+00 14.7, 0.535,206.1,  27.9,F8 V        ,  4.28, 0.57,  59.4,03 36 52,+00 24.1
NN 3238 ,03 34 21,-41 09.4, 0.522,204.7,      ,M3          , 13.05,     ,  42.0,03 36 07,-40 59.9
NN 3239 ,03 34 41,+17 41.7, 0.180, 98.0,      ,g-k         , 12.74,     ,  43.0,03 37 33,+17 51.5
NN 3240 ,03 34 42,+17 41.5, 0.180, 98.0,      ,g-k         , 13.29,     ,  43.0,03 37 34,+17 51.3
GJ 1062 ,03 35 48,-11 36.7, 3.033,152.1,-140.0,M2          , 13.01, 1.66,  64.8,03 38 15,-11 29.2
NN 3241 ,03 36 30,+24 48.2, 0.232, 27.0,      ,dM3.1       , 12.79,     ,  59.0,03 39 29,+24 58.1
NN 3242 ,03 36 35,+25 19.4, 0.629,157.1,      ,M3.5        , 12.70,     ,  54.0,03 39 35,+25 28.6
Wo 9119 ,03 36 39,+33 18.7, 0.038,268.5,   9.4,dK5         ,  9.07, 1.06,  42.0,03 39 48,+33 28.4
Wo 9119 ,03 36 38,+33 18.8, 0.038,268.5,      ,            , 12.87, 1.49,  42.0,03 39 47,+33 28.5
Wo 9120 ,03 36 40,+25 19.6, 0.629,157.1,      ,M3.5        , 13.10,     ,  48.0,03 39 40,+25 28.8
Gl 147.1,03 37 49,-03 22.5, 0.724,106.9, 120.3,F9 V        ,  6.68, 0.54,  46.9,03 40 22,-03 13.0
NN 3243 ,03 38 00,-69 07.1, 0.608, 32.9,      ,m           , 11.95,     ,  61.0,03 38 15,-68 57.0
NN 3244 ,03 38 15,-02 29.4, 0.432,119.4,  48.0,K0          ,  6.96, 0.96,  75.0,03 40 48,-02 20.0
Gl 148  ,03 38 34,+03 27.3, 0.234,192.2,   4.2,dM0  p      ,  9.59, 1.37,  44.8,03 41 11,+03 36.7
NN 3245 ,03 39 42,+12 22.9, 1.572,151.5,      ,M0.5        , 12.91, 1.54,  45.1,03 42 30,+12 31.3
NN 3246 ,03 40 20,-51 35.1, 0.074,293.1,      ,K4 V        ,  9.07, 1.10,  42.0,03 41 44,-51 25.6
Gl 149  ,03 40 36,-24 37.2, 0.379,173.6,  20.7,K4          ,  9.20, 1.13,  41.0,03 42 45,-24 28.0
Gl 149  ,03 40 38,-24 36.9, 0.380,174.0,      ,m           , 15.60,     ,  41.0,03 42 47,-24 27.7
Gl 150  ,03 40 51,-09 55.9, 0.752,352.3,  -5.1,K0 IVe      ,  3.53, 0.92, 103.5,03 43 15,-09 45.8
NN 3247 ,03 40 57,-09 43.6, 0.522, 54.5,      ,m           , 14.70,     ,  66.0,03 43 23,-09 33.9
Gl 150.1,03 41 02,+16 31.1, 0.300,160.0,  36.1,dM0         ,  9.96, 1.45,  62.0,03 43 53,+16 40.3
Gl 150.1,03 40 55,+16 30.8, 0.300,160.0,  13.3,dM0         , 10.81, 1.48,  62.0,03 43 46,+16 40.0
Gl 150.2,03 41 16,+45 52.8, 0.337,107.6,  20.3,K0          ,  7.71, 0.86,  45.0,03 44 48,+46 02.1
Wo 9124 ,03 41 17,+24 38.6, 0.050,165.0,      ,F8          , 10.66, 0.66,  44.5,03 44 16,+24 48.0
Wo 9125 ,03 41 17,+24 37.6, 0.050,165.0,      ,G0          , 10.81, 0.70,  48.5,03 44 16,+24 47.0
Wo 9126 ,03 41 21,+24 43.1, 0.023,241.7,   2.0,K2          ,  8.85, 1.71,  51.5,03 44 20,+24 52.5
