Name,RAB1950,DEB1950,pm,pmPA,RV,Sp,Vmag,B-V,plx,_RA,_DE
GJ 1006 ,00 13 36,+19 35.6, 1.037,137.5,      ,M4          , 12.27, 1.50,  65.5,00 16 14,+19 51.6
GJ 1006 ,00 13 38,+19 35.8, 1.037,137.5,      ,M4.5        , 13.22, 1.60,  65.5,00 16 16,+19 51.8
Wo 9006 ,00 13 46,+15 38.5, 0.257, 54.0,      ,m           , 14.80,     ,  43.3,00 16 22,+15 55.3
NN 3021 ,00 13 56,-80 07.7, 0.460, 99.0,      ,G6 V        ,  6.60,     ,  52.0,00 16 14,-79 51.1
NN 3022 ,00 14 21,+19 47.2, 0.244, 84.0,      ,m           , 13.77,     ,  45.0,00 16 57,+20 03.9
GJ 1007 ,00 14 22,+04 51.3, 0.635,185.0,      ,m           , 13.79, 1.62,  56.6,00 16 56,+05 07.4
Gl 13   ,00 14 24,-52 55.9, 0.361, 61.0, -14.3,G2 V        ,  6.84, 0.64,  67.4,00 16 54,-52 39.1
Gl 14   ,00 14 26,+40 40.2, 0.562, 79.7,   3.0,dM0.5       ,  9.00, 1.36,  71.0,00 17 06,+40 56.9
NN 3023 ,00 14 41,+28 54.0, 0.791, 57.5,      ,M2          , 11.55,     ,  51.0,00 17 20,+29 11.0
NN 3024 ,00 14 54,-09 01.0, 0.388,107.0,      ,M0          , 12.49, 1.57,  46.6,00 17 28,-08 44.4
NN 3025 ,00 15 07,-08 57.7, 0.270, 86.0,      ,dM0         , 11.00, 1.42,  36.6,00 17 41,-08 41.0
NN 3026 ,00 15 22,-18 11.4, 0.223, 71.0,      ,m           , 13.20, 1.58,  39.0,00 17 55,-17 54.7
Wo 9008 ,00 15 25,-13 44.0, 0.404, 89.4,  28.2,G2 V        ,  6.50, 0.59,  42.0,00 17 59,-13 27.3
Gl 15   ,00 15 31,+43 44.4, 2.912, 81.8,  12.0,M2 V        ,  8.08, 1.56, 289.5,00 18 23,+44 01.4
Gl 15   ,00 15 31,+43 44.4, 2.912, 81.8,  11.3,M6 Ve       , 11.06, 1.79, 289.5,00 18 23,+44 01.4
Gl 16   ,00 15 42,+09 55.5, 0.020,180.0,      ,dM0         , 10.90, 1.50,  35.9,00 18 17,+10 12.1
Gl 16.1 ,00 16 07,-08 19.7, 0.443,108.6, -10.4,G5 IV-V     ,  6.46, 0.68,  51.4,00 18 41,-08 03.2
NN 3027 ,00 16 16,+27 32.3, 0.402,105.0,      ,m           , 13.86,     ,  52.0,00 18 54,+27 48.9
GJ 1008 ,00 16 33,-10 14.3, 0.276,200.0,      ,K7 V        ,  9.94, 1.33,  46.0,00 19 06,-09 57.9
Gl 17   ,00 17 29,-65 10.1, 2.072, 55.7,   9.0,F9 V        ,  4.22, 0.58, 139.0,00 20 05,-64 52.5
GJ 2003 ,00 17 36,-17 20.3, 0.180, 65.0,      ,M1          , 11.69, 1.55,  41.0,00 20 09,-17 03.6
NN 3028 ,00 17 48,+32 49.3, 1.362,129.2, -30.0,M6          , 16.05, 1.98,  79.9,00 20 30,+33 05.2
Gl 17.1 ,00 18 52,-46 00.7, 0.791,174.2,   2.5,M1          , 10.40, 1.48,  49.7,00 21 20,-45 44.7
NN 3029 ,00 19 15,-46 21.4, 0.483,216.8,      ,M3:         , 12.29, 1.46,  59.0,00 21 41,-46 05.1
NN 3030 ,00 19 16,+48 56.0, 0.220, 98.0,      ,m           , 12.84,     ,  45.0,00 21 58,+49 12.6
GJ 1009 ,00 19 27,-31 41.0, 0.130,163.0,      ,dM2         , 11.16, 1.48,  69.0,00 21 57,-31 24.5
NN 3031 ,00 19 37,+42 20.3, 0.321,213.0,      ,DC9         , 16.50, 0.72,  42.0,00 22 16,+42 36.7
Gl 17.2 ,00 19 52,-27 18.3, 0.476,149.3,   0.4,K3 V        ,  8.30, 0.90,  39.0,00 22 24,-27 02.0
